Data are continuously updated and reviewed.,,
The format of this file is as follows:,,
POS.  1-8   = Date of daily flow  CCYYMMDD,,
POS. 10-18  = Daily avg flow rate in cubic metres/sec 99999.999,,
POS. 20-24  = Quality code,,
,,
B7H026,,
Variable 100.00 Surface Water Level,,
,,
date,discharge,quality
19940801,0.892,1
19940802,0.751,1
19940803,0.646,1
19940804,0.754,1
19940805,0.725,1
19940806,0.687,1
19940807,0.682,1
19940808,0.599,1
19940809,0.604,1
19940810,0.636,1
19940811,0.636,1
19940812,0.636,1
19940813,0.636,1
19940814,0.578,1
19940815,0.745,1
19940816,0.7,1
19940817,0.629,1
19940818,0.629,1
19940819,0.658,1
19940820,0.689,1
19940821,0.742,1
19940822,0.806,1
19940823,0.807,1
19940824,0.742,1
19940825,0.723,1
19940826,0.844,1
19940827,0.869,1
19940828,0.751,1
19940829,0.669,1
19940830,0.709,1
19940831,0.659,1
19940901,0.597,1
19940902,0.608,1
19940903,0.662,1
19940904,0.662,1
19940905,0.662,1
19940906,0.658,1
19940907,0.581,1
19940908,0.559,1
19940909,0.551,1
19940910,0.445,1
19940911,0.561,1
19940912,0.445,1
19940913,0.561,1
19940914,0.445,1
19940915,0.561,1
19940916,0.445,1
19940917,0.567,1
19940918,0.551,1
19940919,0.451,1
19940920,0.42,1
19940921,0.462,1
19940922,0.439,1
19940923,0.375,1
19940924,0.351,1
19940925,0.341,1
19940926,0.397,1
19940927,0.488,1
19940928,0.379,1
19940929,0.282,1
19940930,0.492,1
19941001,0.753,1
19941002,0.753,1
19941003,0.581,1
19941004,0.577,1
19941005,0.671,1
19941006,0.734,1
19941007,0.771,1
19941008,0.756,1
19941009,0.679,1
19941010,0.627,1
19941011,0.543,1
19941012,0.726,1
19941013,0.835,1
19941014,1.628,1
19941015,3.042,1
19941016,2.114,1
19941017,1.157,1
19941018,0.575,1
19941019,0.525,1
19941020,0.729,1
19941021,2.974,1
19941022,3.843,1
19941023,3.762,1
19941024,2.659,1
19941025,1.828,1
19941026,1.47,1
19941027,1.199,1
19941028,1.024,1
19941029,0.853,1
19941030,0.799,1
19941031,0.799,1
19941101,0.799,1
19941102,0.799,1
19941103,7.666,1
19941104,17.83,1
19941105,12.242,1
19941106,9.277,1
19941107,4.897,1
19941108,2.859,1
19941109,1.612,1
19941110,4.589,1
19941111,,170
19941112,,170
19941113,,170
19941114,,170
19941115,,170
19941116,,170
19941117,,170
19941118,,170
19941119,,170
19941120,,170
19941121,,170
19941122,,170
19941123,,170
19941124,,170
19941125,,170
19941126,,170
19941127,,170
19941128,,170
19941129,,170
19941130,,170
19941201,,170
19941202,,170
19941203,,170
19941204,,170
19941205,,170
19941206,,170
19941207,,170
19941208,,170
19941209,,170
19941210,,170
19941211,,170
19941212,,170
19941213,,170
19941214,,170
19941215,,170
19941216,,170
19941217,,170
19941218,,170
19941219,,170
19941220,,170
19941221,,170
19941222,,170
19941223,,170
19941224,,170
19941225,,170
19941226,,170
19941227,,170
19941228,,170
19941229,,170
19941230,,170
19941231,,170
19950101,,170
19950102,,170
19950103,,170
19950104,,170
19950105,,170
19950106,,170
19950107,,170
19950108,,170
19950109,,170
19950110,,170
19950111,26.235,1
19950112,21.714,1
19950113,18.491,1
19950114,10.457,1
19950115,6.133,1
19950116,7.986,1
19950117,176.25,1
19950118,134.138,1
19950119,49.975,1
19950120,29.471,1
19950121,22.432,1
19950122,15.702,1
19950123,12.044,1
19950124,10.728,1
19950125,7.921,1
19950126,6.856,1
19950127,5.078,1
19950128,4.867,1
19950129,4.155,1
19950130,6.312,1
19950131,25.184,1
19950201,55.352,1
19950202,40.444,1
19950203,19.2,1
19950204,11.279,1
19950205,8.545,1
19950206,8.448,1
19950207,7.422,1
19950208,4.301,1
19950209,2.397,1
19950210,1.895,1
19950211,1.631,1
19950212,1.387,1
19950213,1.107,1
19950214,3.471,1
19950215,2.664,1
19950216,1.717,1
19950217,1.116,1
19950218,1.259,1
19950219,2.387,1
19950220,2.278,1
19950221,1.298,1
19950222,1.189,1
19950223,1.351,1
19950224,1.193,1
19950225,19.485,1
19950226,17.518,1
19950227,14.688,1
19950228,11.834,1
19950301,8.43,1
19950302,7.259,1
19950303,6.66,1
19950304,5.74,1
19950305,4.361,1
19950306,3.147,1
19950307,4.276,1
19950308,5.077,1
19950309,5.174,1
19950310,3.84,1
19950311,2.369,1
19950312,2.156,1
19950313,2.118,1
19950314,2.465,1
19950315,2.142,1
19950316,1.489,1
19950317,1.21,1
19950318,0.983,1
19950319,0.853,1
19950320,0.784,1
19950321,0.613,1
19950322,0.609,1
19950323,0.844,1
19950324,0.9,1
19950325,5.684,1
19950326,7.369,1
19950327,31.952,1
19950328,25.678,1
19950329,24.432,1
19950330,20.488,1
19950331,19.924,1
19950401,22.134,1
19950402,18.732,1
19950403,16.514,1
19950404,14.886,1
19950405,12.513,1
19950406,10.391,1
19950407,8.58,1
19950408,8.289,1
19950409,6.948,1
19950410,6.889,1
19950411,5.772,1
19950412,5.774,1
19950413,4.848,1
19950414,3.85,1
19950415,3.608,1
19950416,3.499,1
19950417,3.264,1
19950418,3.634,1
19950419,3.12,1
19950420,2.058,1
19950421,1.732,1
19950422,1.52,1
19950423,1.405,1
19950424,1.259,1
19950425,1.519,1
19950426,1.474,1
19950427,4.41,1
19950428,6.558,1
19950429,5.787,1
19950430,19.676,1
19950501,79.524,1
19950502,40.612,1
19950503,31.226,1
19950504,26.313,1
19950505,26.869,1
19950506,23.144,1
19950507,20.098,1
19950508,19.85,1
19950509,17.189,1
19950510,17.552,1
19950511,12.567,1
19950512,15.088,1
19950513,14.633,1
19950514,12.42,1
19950515,10.202,1
19950516,10.745,1
19950517,9.708,1
19950518,9.022,1
19950519,7.694,1
19950520,8.996,1
19950521,5.664,1
19950522,7.116,1
19950523,5.742,1
19950524,6.296,1
19950525,6.197,1
19950526,5.132,1
19950527,5.946,1
19950528,5.309,1
19950529,4.799,1
19950530,4.325,1
19950531,4.948,1
19950601,5.143,1
19950602,4.459,1
19950603,4.208,1
19950604,4.202,1
19950605,3.688,1
19950606,3.632,1
19950607,4.576,1
19950608,3.75,1
19950609,3.488,1
19950610,3.097,1
19950611,3.482,1
19950612,3.514,1
19950613,2.992,1
19950614,2.791,1
19950615,4.704,1
19950616,2.077,1
19950617,1.361,1
19950618,2.588,1
19950619,2.213,1
19950620,1.673,1
19950621,2.249,1
19950622,2.545,1
19950623,2.487,1
19950624,2.465,1
19950625,2.009,1
19950626,1.712,1
19950627,1.29,1
19950628,1.144,1
19950629,1.001,1
19950630,1.037,1
19950701,1.084,1
19950702,1.08,1
19950703,0.987,1
19950704,0.768,1
